IntendedCollegeMajor,TestTakers,Percent
"Agriculture, AgricultureOperations, and Related Sciences","21,781",1
Architecture and Related Services,"15,422",1
"Area, Ethnic, Cultural, and Gender Studies","1,761",0
Biological and Biomedical Sciences,NaN,NaN
"Business, Management, Marketing, and Related Support Services","125,457",8
"Communication, Journalism, and Related Programs","18,532",1
Computer and Information Sciences and Support Services,"46,344",3
"Construction Trades, General",NaN,NaN
Education,"49,559",3
Engineering,"104,204",6
Engineering Technologies/Technicians,"16,846",1
English Language and Literature/Letters,"10,895",1
Family and Consumer Sciences/Human Sciences,"26,618",2
"Foreign Languages and Literatures, General",NaN,NaN
Health Professions and related Clinical Sciences,"218,316",13
"History, General",NaN,NaN
"Legal Studies, General",NaN,NaN
"Liberal Arts and Sciences, General Studies and Humanities",NaN,NaN
Library Science/Librarianship,NaN,NaN
Mathematics and Statistics,NaN,NaN
Mechanic and Repair Technologies/Technicians,NaN,NaN
Military Technologies,NaN,NaN
Multi/Interdisciplinary Studies,NaN,NaN
Natural resources and Conservation,NaN,NaN
"Parks, Recreation and Leisure Studies",NaN,NaN
"Personal and Culinary Services, General",NaN,NaN
Philosophy and Religious Studies,NaN,NaN
Physical Sciences,97984,6
Precision Production,NaN,NaN
"Psychology, General",NaN,NaN
Public Administration and Social Service Professions,NaN,NaN
Security and Protective Services,NaN,NaN
Social Sciences,92008,6
Theology and Religious Vocations,3852,0
Transportation and Materials Moving,NaN,NaN
"Visual and Performing Arts, General",67693,4
Other,NaN,NaN
Undecided,198909,12
